asin,first_three_words,shortened_product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,sales_volume,delivery
B086H3HH5V,Moto E |,Moto E | Unlocked | Made for U,$107.99 ,$119.99 ,USD,4.4,16748,4,$61.03 ,Typical: ,"FREE delivery Thu, Sep 26"
B008UZE0IU,VTech CD1113 Corded,VTech CD1113 Corded Phone for ,$22.40 ,$23.86 ,USD,4.1,1742,15,$14.80 ,100+ bought in past month,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon"
B084CVPLLC,Moto G stylus,Moto G stylus | 2020 | Unlocke,$149.99 ,$179.99 ,USD,4.4,6645,5,$89.95 ,Typical: ,"FREE delivery Fri, Sep 27"
B004KQDBKG,Panasonic KX-TS880B Integrated,Panasonic KX-TS880B Integrated,$55.00 ,$59.99 ,USD,3.9,862,3,$16.41 ,50+ bought in past month,"FREE delivery Tue, Sep 24"
B08M46Q3C1,Panasonic Office Phone,"Panasonic Office Phone System,",$146.29 ,$169.99 ,USD,3.8,136,23,$61.19 ,100+ bought in past month,"FREE delivery Tue, Sep 24"
B0CSDWT13K,Xiaomi Redmi Note,Xiaomi Redmi Note 13 4G LTE (2,$159.69 ,$169.99 ,USD,4.4,155,1,$159.69 ,300+ bought in past month,"FREE delivery Tue, Sep 24"
B0CQPBKCNH,Hellobaby DECT 6.0,Hellobaby DECT 6.0 Cordless Ph,$27.99 ,$37.99 ,USD,3.9,178,3,$25.93 ,200+ bought in past month,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon"
B0CH9P3HYW,VTech IS8251 Business,VTech IS8251 Business Grade Ex,$89.95 ,$109.95 ,USD,4.2,918,2,$56.58 ,List: ,"FREE delivery Tue, Sep 24"
B07DVTRK72,Y043 Corded Landline,Y043 Corded Landline Telephone,$18.98 ,$29.98 ,USD,3.8,1235,1,$18.98 ,100+ bought in past month,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon"
B0CK2RLX1N,Motorola Edge +,Motorola Edge + Plus | 2022 | ,$184.95 ,$219.00 ,USD,4.0,69,1,$184.95 ,Typical price: ,"FREE delivery Sep 25 - 27 Or fastest delivery Tomorrow, Sep 20 Only 1 left in stock - order soon."
B0CNPHHTM3,HelloBaby DECT 6.0,HelloBaby DECT 6.0 Cordless Ph,$39.99 ,$42.99 ,USD,3.9,300,3,$34.74 ,100+ bought in past month,"FREE delivery Tue, Sep 24"
B099NZRSND,Motorola One 5G,Motorola One 5G UW 128GB Oxfor,$82.85 ,$97.99 ,USD,4.3,162,8,$73.99 ,Typical price: ,FREE delivery Sep 24 - 26 Or fastest delivery Sep 20 - 24
B0D1C7N13W,AT&amp;T Essentials Edge,AT&amp;T Essentials Edge Pro C,$17.99 ,$29.99 ,USD,3.4,6,1,$17.99 ,List: ,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon"
B0016CVUR8,Hamburger Cheeseburger Burger,Hamburger Cheeseburger Burger ,$12.98 ,$15.80 ,USD,4.3,1079,8,$12.00 ,100+ bought in past month,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon"
